Atlantic City Intl;Atlantic City;United States;ACY;KACY;39.457583;-74.577167;-5;A
Ardmore Muni;Ardmore;United States;ADM;KADM;34.300833;-97.008889;-6;A
Addison;Addison;United States;ADS;KADS;32.9685594;-96.8364478;-5;A
Andrews Afb;Camp Springs;United States;ADW;KADW;38.810806;-76.867028;-5;A
Alexandria Intl;Alexandria;United States;AEX;KAEX;31.3274;-92.549833;-6;A
Fort Worth Alliance Airport;Fort Worth;United States;AFW;KAFW;32.987778;-97.318889;-6;A
Allegheny County Airport;Pittsburgh;United States;AGC;KAGC;40.3544;-79.9302;-5;A
Augusta Rgnl At Bush Fld;Bush Field;United States;AGS;KAGS;33.369944;-81.9645;-5;A
Athens Ben Epps Airport;Athens;United States;AHN;KAHN;33.9486;-83.3263;-5;A
Alliance Municipal Airport;Alliance;United States;AIA;KAIA;42.053333;-102.803889;-7;A
Municipal Airport;Aiken;United States;AIK;KAIK;33.6493889;-81.6850278;-5;A
Lee C Fine Memorial Airport;Kaiser Lake Ozark;United States;AIZ;KAIZ;38.096035;-92.5494875;-5;A
Akron Fulton Intl;Akron;United States;AKC;KAKR;41.0375;-81.466917;-5;A
Albany Intl;Albany;United States;ALB;KALB;42.748267;-73.801692;-5;A
Alice Intl;Alice;United States;ALI;KALI;27.740889;-98.026944;-6;A
Alamogordo White Sands Regional Airport;Alamogordo;United States;ALM;KALM;32.8399;-105.991;-7;A
Waterloo Regional Airport;Waterloo;United States;ALO;KALO;42.5571;-92.4003;-6;A
San Luis Valley Regional Airport;Alamosa;United States;ALS;KALS;37.435;-105.866667;-7;A
Walla Walla Regional Airport;Walla Walla;United States;ALW;KALW;46.0949;-118.288;-8;A
Rick Husband Amarillo Intl;Amarillo;United States;AMA;KAMA;35.219369;-101.705931;-6;A
Anniston Metro;Anniston;United States;ANB;KANB;33.588167;-85.858111;-6;A
Anderson Rgnl;Andersen;United States;AND;KAND;34.494583;-82.709389;-5;A
Lee Airport;Annapolis;United States;ANP;KANP;38.942778;-76.568333;-5;A
Tri-State Steuben County Airport;Angola;United States;ANQ;KANQ;41.6396983;-85.0834933;-5;A
Lima Allen County Airport;Lima;United States;AOH;KAOH;40.707478;-84.0270781;-5;A
Altoona Blair Co;Altoona;United States;AOO;KAOO;40.296372;-78.320022;-5;A
Centennial;Denver;United States;APA;KAPA;39.570129;-104.849294;-7;A
Napa County Airport;Napa;United States;APC;KAPC;38.2131944;-122.2806944;-7;A
Naples Muni;Naples;United States;APF;KAPF;26.152619;-81.775294;-5;A
Phillips Aaf;Aberdeen;United States;APG;KAPG;39.466219;-76.168808;-5;A
Alpena County Regional Airport;Alpena;United States;APN;KAPN;45.0781;-83.5603;-5;A
Acadiana Rgnl;Louisiana;United States;ARA;KARA;30.037758;-91.883896;-6;A
Ann Arbor Municipal Airport;Ann Arbor;United States;ARB;KARB;42.132274;-83.444418;-5;A
Watertown Intl;Watertown;United States;ART;KART;43.991922;-76.021739;-5;A
Lakeland;Minocqua - Woodruff;United States;ARV;KARV;45.927778;-89.730833;-6;A
Aspen Pitkin County Sardy Field;Aspen;United States;ASE;KASE;39.2232;-106.869;-7;A
Boire Field Airport;Nashua;United States;ASH;KASH;42.78175;-71.5147778;-4;A
Astoria Regional Airport;Astoria;United States;AST;KAST;46.157972;-123.878694;-8;A
Hartsfield Jackson Atlanta Intl;Atlanta;United States;ATL;KATL;33.636719;-84.428067;-5;A
Camp Mabry Austin City;Austin TX;United States;ATT;KATT;30.31666;-97.7666;-6;A
Appleton;Appleton;United States;ATW;KATW;44.257526;-88.507576;-6;A
Watertown Regional Airport;Watertown;United States;ATY;KATY;44.914;-97.1547;-6;A
Augusta State;Augusta;United States;AUG;KAUG;44.320647;-69.797317;-5;A
Austin Bergstrom Intl;Austin;United States;AUS;KAUS;30.194528;-97.669889;-6;A
Asheville Regional Airport;Asheville;United States;AVL;KAVL;35.436194;-82.541806;-5;A
Executive;Avon Park;United States;AVO;KAVO;27.591389;-81.528889;-5;A
Wilkes Barre Scranton Intl;Scranton;United States;AVP;KAVP;41.338478;-75.723403;-5;A
Marana Regional;Tucson;United States;AVW;KAVQ;32.409556;-111.218388;-7;U
Avalon;Catalina Island;United States;AVX;KAVX;33.405;-118.415833;-8;A
Kalamazoo;Kalamazoo;United States;AZO;KAZO;42.234875;-85.552058;-5;A
Beale Afb;Marysville;United States;BAB;KBAB;39.136089;-121.436567;-8;A
Barksdale Afb;Shreveport;United States;BAD;KBAD;32.50182;-93.662674;-6;A
Barnes Municipal;Westfield;United States;BAF;KBAF;42.1579472;-72.715875;-4;A
Branson LLC;Branson;United States;BKG;KBBG;36.531994;-93.200556;-6;A
Bryce Canyon;Bryce Canyon;United States;BCE;KBCE;37.706444;-112.145806;-7;A
Boca Raton;Boca Raton;United States;BCT;KBCT;26.3785;-80.107694;-5;A
Baudette Intl;Baudette;United States;BDE;KBDE;48.728444;-94.612222;-6;A
Bradley Intl;Windsor Locks;United States;BDL;KBDL;41.938889;-72.683222;-5;A
Igor I Sikorsky Mem;Stratford;United States;BDR;KBDR;41.163472;-73.126167;-5;A
Beech Factory Airport;Wichita;United States;BEC;KBEC;37.6939167;-97.2149167;-5;A
Laurence G Hanscom Fld;Bedford;United States;BED;KBED;42.469953;-71.289031;-5;A
Bradford Regional Airport;Bradford;United States;BFD;KBFD;41.8031;-78.6401;-5;A
Western Nebraska Regional Airport;Scottsbluff;United States;BFF;KBFF;41.874;-103.596;-7;A
Boeing Fld King Co Intl;Seattle;United States;BFI;KBFI;47.53;-122.301947;-8;A
Meadows Fld;Bakersfield;United States;BFL;KBFL;35.433598;-119.05677;-8;A
Mobile Downtown;Mobile;United States;BFM;KBFM;30.626783;-88.068092;-6;A
Beaver Falls;Beaver Falls;United States;BFP;KBFP;40.7724722;-80.3914444;-4;A
BFT County Airport;Beauford;United States;BFT;KBFT;32.41083;-80.635;-5;A
Decatur County Industrial Air Park;Bainbridge;United States;BGE;KBGE;30.9715981;-84.6369278;-5;A
Greater Binghamton Edwin A Link Fld;Binghamton;United States;BGM;KBGM;42.208689;-75.979839;-5;A
Bangor Intl;Bangor;United States;BGR;KBGR;44.807444;-68.828139;-5;A
Hancock County - Bar Harbor;Bar Harbor;United States;BHB;KBHB;44.4497689;-68.3615653;-5;A
Birmingham Intl;Birmingham;United States;BHM;KBHM;33.562942;-86.75355;-6;A
Block Island State Airport;Block Island;United States;BID;KBID;41.168056;-71.577778;-5;A
Biggs Aaf;El Paso;United States;BIF;KBIF;31.849528;-106.380039;-7;A
Billings Logan International Airport;Billings;United States;BIL;KBIL;45.80921;-108.537654;-7;A
Bismarck Municipal Airport;Bismarck;United States;BIS;KBIS;46.775842;-100.757931;-6;A
Tulip City Airport;Holland;United States;BIV;KBIV;42.7427778;-86.1078333;-5;A
Keesler Afb;Biloxi;United States;BIX;KBIX;30.410425;-88.924433;-6;A
Rocky Mountain Metropolitan Airport;Broomfield-CO;United States;BJC;KBJC;39.90888888;-105.11722222;-7;A
Bemidji Regional Airport;Bemidji;United States;BJI;KBJI;47.510722;-94.934722;-6;A
Stephens Co;Breckenridge;United States;BKD;KBKD;32.719047;-98.891;-6;A
Buckley Afb;Buckley;United States;BKF;KBKF;39.701668;-104.75166;-7;A
Burke Lakefront Airport;Cleveland;United States;BKL;KBKL;41.5175;-81.683333;-5;A
Raleigh County Memorial Airport;Beckley;United States;BKW;KBKW;37.7873;-81.1242;-5;A
Blythe Airport;Blythe;United States;BLH;KBLH;33.619167;-114.716889;-8;A
Bellingham Intl;Bellingham;United States;BLI;KBLI;48.792694;-122.537528;-8;A
